Row,Address,City,ZIP,Current Name,Units,Year Built,Corrected Name,Source URL,Confidence
1,8000 E BAYMEADOWS CIR,Jacksonville,32256,E Baymeadows Apartments,98,1969,Baymeadows Apartments,https://www.apartmenthomeliving.com/apartment-finder/Baymeadows-Apartments-Jacksonville-FL-32256-17470,
2,401 CENTURY 21 DR,Jacksonville,32211,Shorehouse Tic Apartments,64,1973,Shore House,https://www.apartments.com/shore-house-jacksonville-fl/j5n3yw4/,
3,1591 S LANE AVE,Jacksonville,32210,Riverbank Apts,59,1967,Riverbank Apartments,https://www.apartments.com/riverbank-apartments-jacksonville-fl/yfbkhsv/,
4,9803 CREEKFRONT RD,Jacksonville,32256,L/L Deerwood Apartments,51,1983,Creekfront at Deerwood,https://www.creekfrontdeerwood.com/,
5,3200 HARTLEY RD,Jacksonville,32257,Mandarin Apartments,50,1974,Arcona Grove,https://www.apartments.com/arcona-grove-jacksonville-fl/x94pwsm/,
6,7816 SOUTHSIDE BLVD,Jacksonville,32256,Merion Chase Oaks,50,1975,The Fountains at Deerwood,https://www.thefountainsdeerwood.com/,
7,8201 KONA AVE,Jacksonville,32211,Sp Ov Apartments,50,1972,Oakwood Villa,https://www.apartments.com/oakwood-villa-jacksonville-fl/df1tx6l/,
8,7632 SOUTHSIDE BLVD,Jacksonville,32256,L/L Deerwood Apartments,49,1981,The Reserve at Deerwood,https://www.apartmenthomeliving.com/apartment-finder/The-Reserve-at-Deerwood-Jacksonville-FL-32256-749679,
9,3770 TOLEDO RD,Jacksonville,32217,Kings Trail Apartments,48,1968,Kings Trail Apartment Homes,https://www.apartments.com/kings-trail-apartment-homes-jacksonville-fl/klp7hkb/,
10,5350 ARLINGTON EXPY,Jacksonville,32211,Arep Pier Apartments,46,1972,Pier 5350,https://www.apartments.com/pier-5350-jacksonville-fl/tpgyv3b/,
11,7651 PARADISE ISLAND BLVD,Jacksonville,32256,G&I Ix Paradise Island Apartments,45,1992,Paradise Island,https://www.paradiseislandjax.com/,
12,1100 SEAGATE AVE,Neptune Beach,32266,Kae Apartments,45,1969,Hale Nani,https://www.livehalenani.com/,
13,8335 FREEDOM CROSSING TRL,Jacksonville,32256,Bmf Iv Fl Vue Baymeadows,44,1988,Vue at Baymeadows,https://www.apartments.com/vue-at-baymeadows-jacksonville-fl/hpz9gn0/,
14,5959 FT CAROLINE RD,Jacksonville,32277,Caroline Square Realty,43,1974,The Square at 59 Caroline,https://www.apartments.com/the-square-at-59-caroline-jacksonville-fl/rrglsf0/,
15,8711 NEWTON RD,Jacksonville,32216,Jacksonville Housing Authority Apartments,43,1972,Southwind Villa Apartments,https://www.apartments.com/southwind-villa-apartments-jacksonville-fl/bfw6mt9/,
16,400 CENTURY 21 DR,Jacksonville,32216,Boathouse Tic Apartments,42,1972,Boat House,https://www.apartments.com/boat-house-jacksonville-fl/67ck4gs/,
17,4090 HODGES BLVD,Jacksonville,32224,Ccl Property Ll Apartments,42,1995,Country Club Lakes,https://www.apartments.com/country-club-lakes-jacksonville-fl/k63nms9/,
18,3037 JOHN HANCOCK CT,Jacksonville,32221,Saddle Brook Landings,41,1978,Saddle Brook Landings,https://www.saddlebrooklandings.com/,
19,3551 S SAN PABLO RD,Jacksonville,32250,San Pablo Apartments,39,1974,The Park at Milazzo,https://www.apartments.com/the-park-at-milazzo-jacksonville-fl/mp2cryh/,
20,3500 N UNIVERSITY BLVD,Jacksonville,32277,Fah Treehouse Apartments,38,1973,Tree House Apartments,https://www.apartments.com/tree-house-jacksonville-fl/rcqwyd2/,
21,7061 S OLD KINGS RD,Jacksonville,32217,S Old Apartments,38,1966,Concord Crossing,https://cc-jax.com/,
22,1935 FOREST BLVD,Jacksonville,32246,Jacksonville Housing Authority Apartments,36,1981,Forest Meadows East,https://www.apartments.com/forest-meadows-east-jacksonville-fl/4d5dwgj/,
23,11990 BEACH BLVD,Jacksonville,32246,Levanzo Apartments,34,1974,Sands on Beach,https://www.apartments.com/sands-on-beach-jacksonville-fl/hcgy4q0/,
